iter	RMSE
297	0.6031503517
298	0.6028846572
299	0.6026847267
300	0.6020721296
301	0.6014268191
302	0.6008851243
303	0.6007359863
304	0.5995898623
305	0.5993306302
306	0.5991028525
307	0.597767134
308	0.5972192229
309	0.5969388448
310	0.5962388351
311	0.5958403825
312	0.5954825411
313	0.5951052669
314	0.5943345773
315	0.5940377131
316	0.5933933548
317	0.5924363682
318	0.5917649576
319	0.5908332909
320	0.5904395897
321	0.5899208271
322	0.5894330439
323	0.5887831376
324	0.5885425613
325	0.5879346034
326	0.5874198993
327	0.5869688124
328	0.5863154358
329	0.5857424943
330	0.5853064627
331	0.5851791298
332	0.5846633734
333	0.5840324397
334	0.5837543219
335	0.5828403958
336	0.5823162158
337	0.582170672
338	0.5819873944
339	0.5818830039
340	0.5811520086
341	0.5810233482
342	0.5801868038
343	0.5797227818
344	0.5791275143
345	0.5786028919
346	0.5780805238
347	0.5777680885
348	0.5774032152
349	0.5763721494
350	0.575595678
351	0.5752854129
352	0.5748404021
353	0.5743340926
354	0.5739572267
355	0.5737288028
356	0.5729955179
357	0.5724718016
358	0.571947927
359	0.5713250006
360	0.5711247431
361	0.5707548039
362	0.5704506582
363	0.5699545255
364	0.5698018091
365	0.5693810614
366	0.5688987917
367	0.5686865193
368	0.5682371433
369	0.567785328
370	0.567017224
371	0.5667025683
372	0.5660179905
373	0.5656710586
374	0.5646483992
375	0.564247506
376	0.5641190617
377	0.563984778
378	0.5635525378
379	0.563435414
380	0.5631501551
381	0.5624858922
382	0.5620982643
383	0.5619893817
384	0.5616530595
385	0.5611625027
386	0.5608911982
387	0.5605291365
388	0.5603540561
389	0.5601326273
390	0.5598500117
391	0.5592875574
392	0.5586588934
393	0.5583620546
394	0.5579380016
395	0.5573873697
396	0.557061096
397	0.5566113975
398	0.5564004474
399	0.5559493449
400	0.5557960155
401	0.5550483506
402	0.5546381227
403	0.5541024265
404	0.5537275296
405	0.5534812482
406	0.552952837
407	0.5522531239
408	0.5518295098
409	0.5509900766
410	0.5507809788
411	0.5500215535
412	0.5498334851
413	0.5493182727
414	0.5486627248
415	0.5485130221
416	0.5482323375
417	0.5476198409
418	0.5472190669
419	0.5462569382
420	0.545867846
421	0.545186559
422	0.5447570095
423	0.5445393478
424	0.5437574865
425	0.5430582763
426	0.542943976
427	0.5426079824
428	0.5422121408
429	0.541452804
430	0.5409976534
431	0.5403322974
432	0.5397483718
433	0.5391191494
434	0.5386350529
435	0.5383276507
436	0.537985097
437	0.5374463076
438	0.5368192407
439	0.5364760823
440	0.5360815694
441	0.5356065438
442	0.5351333385
443	0.5350177322
444	0.5345242591
445	0.5338970461
446	0.533497273
447	0.5330828953
448	0.5329193369
449	0.5324970179
450	0.5318145465
451	0.5315889993
452	0.5310197618
453	0.5305167023
454	0.5299465357
455	0.529464056
456	0.5290955042
457	0.5289622855
458	0.5287114682
459	0.5281416741
460	0.5277713458
461	0.5271942715
462	0.5268382435
463	0.5265603187
464	0.5262553778
465	0.5258230447
466	0.5253829784
467	0.5252408575
468	0.525064905
469	0.5247599504
470	0.524113942
471	0.5238622681
472	0.5235151424
473	0.5232439037
474	0.5224423582
475	0.522247169
476	0.5218454226
477	0.5215169605
478	0.5211317422
479	0.5209054148
480	0.5203136185
481	0.5198736387
482	0.5197732452
483	0.5192830824
484	0.5188312075
485	0.5184818352
486	0.5180152928
487	0.5175666332
488	0.5170357234
489	0.516876233
490	0.5165343463
491	0.5162739494
492	0.515764535
493	0.5153926641
494	0.5150264265
495	0.5147863932
496	0.514564242
497	0.5139790722
498	0.5136629357
499	0.513130932
500	0.5129224162
501	0.5128272312
502	0.5122004316
503	0.5118585246
504	0.5114337819
505	0.5110856193
506	0.5105907013
507	0.5102103209
508	0.5095533968
509	0.5091489279
510	0.5089259785
511	0.5086554871
512	0.508513688
513	0.5084077299
514	0.5080189803
515	0.5075806229
516	0.507352741
517	0.5064829368
518	0.5062463312
519	0.5060757229
520	0.5056407754
521	0.5052238991
522	0.5048805754
523	0.5047611471
524	0.5043649891
525	0.5039225346
526	0.5036539211
527	0.5030662375
528	0.5026719778
529	0.5019409919
530	0.5016119653
531	0.5009877754
532	0.500466338
533	0.5001047305
534	0.4997714108
535	0.4995540994
536	0.4992350798
537	0.4990507135
538	0.4987913916
539	0.4982890295
540	0.4979518853
541	0.4976285358
542	0.4973874973
543	0.4971570183
544	0.4967467624
545	0.496554541
546	0.4962881328
547	0.4961074373
548	0.495794303
549	0.4954806462
550	0.4952848107
551	0.4949484378
552	0.4946314466
553	0.4944457074
554	0.4942816831
555	0.494169581
556	0.4936572476
557	0.4932427673
558	0.4929829295
559	0.4927581068
560	0.4923544068
561	0.4920500114
562	0.4915833677
563	0.4911450601
564	0.4909137744
565	0.4906259621
566	0.4904479648
567	0.4901798536
568	0.4900517277
569	0.4897791507
570	0.4894869785
571	0.4889563376
572	0.4885750009
573	0.4884594985
574	0.4882716474
575	0.4878714382
576	0.4874688835
577	0.486774334
578	0.4866242931
579	0.4861430194
580	0.4856176018
581	0.4853385482
582	0.4849744119
583	0.4846232132
584	0.4844034193
585	0.4842464065
586	0.4840030894
587	0.4837371229
588	0.4835304177
589	0.4831634109
590	0.4827840169
591	0.4822339509
592	0.4816384176
593	0.481247142
594	0.4808046425
595	0.4806708693
596	0.4801897156
597	0.480079149
598	0.4798489412
599	0.4796555516
600	0.479450711
601	0.4792088292
602	0.4787026631
603	0.4784417178
604	0.4780395299
605	0.4778884808
606	0.4774800006
607	0.4773330489
608	0.4769063958
609	0.4767837335
610	0.4764403485
611	0.4761537882
612	0.4758858379
613	0.4756821647
614	0.4755898755
615	0.4754622672
616	0.4749707729
617	0.4748248134
618	0.4746335216
619	0.4744940511
620	0.4743096529
621	0.4737698607
622	0.4733507224
623	0.472945833
624	0.4726486381
625	0.4723723392
626	0.4721326656
627	0.4719446053
628	0.4715275302
629	0.4713927372
630	0.4711570645
631	0.470985302
632	0.4707112658
633	0.4704070795
634	0.4702440889
635	0.4698917605
636	0.46952558
637	0.4693056167
638	0.4690194859
639	0.468690387
640	0.4683999793
641	0.468194373
642	0.468056781
643	0.4678159888
644	0.4675959012
645	0.4674647583
646	0.4672651826
647	0.4672239488
648	0.4668135729
649	0.4665666042
650	0.4663393292
651	0.4661342196
652	0.4659230454
653	0.4657839762
654	0.4655599434
655	0.4652755374
656	0.464667973
657	0.4642435656
658	0.4640187581
659	0.4639015395
660	0.4636855066
661	0.4635544418
662	0.463244136
663	0.4629789918
664	0.462654051
665	0.462566173
666	0.4624655058
667	0.4622637012
668	0.462090894
669	0.4618678562
670	0.4614394977
671	0.4608896311
672	0.4606306197
673	0.4605526084
674	0.4602897032
675	0.4601925053
676	0.4598870811
677	0.4598047183
678	0.4596813987
679	0.4594862335
680	0.4592119251
681	0.4589857821
682	0.4586744122
683	0.4584463943
684	0.4580589251
685	0.4577146636
686	0.457600718
687	0.4574252123
688	0.4570769044
689	0.4565966272
690	0.456262271
691	0.4559962936
692	0.4557090858
693	0.4555578065
694	0.4554755266
695	0.455345647
696	0.4552109189
697	0.4548491441
698	0.4546213372
699	0.4544405058
700	0.4539247746
701	0.4535814075
702	0.4535207533
703	0.4534096818
704	0.4532896811
705	0.4531074413
706	0.4525702835
707	0.4523835504
708	0.4522054001
709	0.4521110956
710	0.4518895002
711	0.4516487128
712	0.4514024183
713	0.4512484907
714	0.4511790944
715	0.4508134424
716	0.450623229
717	0.450555493
718	0.4500006437
719	0.4498643425
720	0.4496606338
721	0.449547056
722	0.4490772635
723	0.4489260639
724	0.4488133282
725	0.4485249357
726	0.4484564709
727	0.4483131247
728	0.4481927883
729	0.4480132187
730	0.4477591486
731	0.4476149607
732	0.4475299051
733	0.4473070177
734	0.447029913
735	0.4468092658
736	0.4467147445
737	0.4466503179
738	0.4464754951
739	0.4464365921
740	0.4462016018
741	0.4459239376
742	0.4456952953
743	0.4456714613
744	0.4456233484
745	0.4452885115
746	0.4450717447
747	0.4450236256
748	0.4448079318
749	0.4445392565
750	0.4441092146
751	0.4440116418
752	0.4438831379
753	0.443582726
754	0.443347278
755	0.4431302969
756	0.4427672461
757	0.4426319459
758	0.4423871843
759	0.4423173209
760	0.4419864212
761	0.4416481952
762	0.4412292103
763	0.441070317
764	0.4405715248
765	0.4404118929
766	0.4402685986
767	0.4400993003
768	0.4400331792
769	0.439814994
770	0.4393592756
771	0.4392057226
772	0.4388481922
773	0.4385952524
774	0.4384993062
775	0.4383158475
776	0.4379948204
777	0.4375783262
778	0.4374052463
779	0.4370222829
780	0.4369617212
781	0.4368202793
782	0.4365014737
783	0.436248692
784	0.4360474921
785	0.435747547
786	0.4353594708
787	0.4351472211
788	0.435039101
789	0.4345212976
790	0.4342969142
791	0.4339903724
792	0.4337548186
793	0.4335947258
794	0.4332993056
795	0.4331735198
796	0.4329622681
797	0.4327574854
798	0.4324752123
799	0.4322624686
800	0.4321934446
801	0.4319126291
802	0.4317307903
803	0.4316676573
804	0.4316026858
805	0.431125025
806	0.4308804429
807	0.4307972485
808	0.4305647615
809	0.4301756504
810	0.4300428145
811	0.4298218952
812	0.429445745
813	0.4293792109
814	0.429190376
815	0.4290726013
816	0.4287603496
817	0.4285643123
818	0.4283326115
819	0.4282117256
820	0.427702814
821	0.4273424165
822	0.4272256243
823	0.4271810902
824	0.4268943635
825	0.426844189
826	0.4266001788
827	0.4263624283
828	0.4263051643
829	0.4259557101
830	0.4255825525
831	0.4255052832
832	0.4251164579
833	0.4249282337
834	0.4248488317
835	0.4245679218
836	0.4244496334
837	0.4241752597
838	0.4240276276
839	0.4238236016
840	0.4236781946
841	0.4236217671
842	0.4235052294
843	0.4233975955
844	0.4230708882
845	0.4229455835
846	0.4228582128
847	0.4227330595
848	0.4225314257
849	0.4224341524
850	0.4222077813
851	0.4219061197
852	0.4214782693
853	0.4214210822
854	0.4214168103
855	0.4212949508
856	0.4208802672
857	0.4208192362
858	0.4207329262
859	0.4203713592
860	0.4202115573
861	0.4199792096
862	0.4197778652
863	0.41934235
864	0.419069924
865	0.4188773711
866	0.4184837355
867	0.4184038661
868	0.4182649923
869	0.4182101044
870	0.4180499252
871	0.417851277
872	0.4178350365
873	0.4176850498
874	0.4175771443
875	0.4174989834
876	0.4170496574
877	0.4169536804
878	0.4169201477
879	0.4168308202
880	0.4166203754
881	0.4163568643
882	0.4160401637
883	0.4158302754
884	0.4157499139
885	0.4154167428
886	0.4153722202
887	0.4152704473
888	0.4151185116
889	0.4147369606
890	0.4144923151
891	0.4142490696
892	0.4137926725
893	0.4133938169
894	0.4133088683
895	0.4130375048
896	0.4129425752
897	0.4126228987
898	0.4124178121
899	0.4120471175
900	0.411954596
901	0.411804563
902	0.4117604454
903	0.4117082972
904	0.4114701907
905	0.4111350148
906	0.410997892
907	0.4108336258
908	0.4105822108
909	0.4103603035
910	0.4102474093
911	0.4100520418
912	0.4098254969
913	0.4095870457
914	0.4095351963
915	0.4094587518
916	0.4093430366
917	0.4092082815
918	0.4090042002
919	0.4086787779
920	0.4086307999
921	0.4085666312
922	0.4084075848
923	0.4082311449
924	0.4080486378
925	0.4076492998
926	0.4075471534
927	0.4073616665
928	0.4072451596
929	0.4069185758
930	0.4068259503
931	0.4063553757
932	0.4061975022
933	0.4060067714
934	0.4059456019
935	0.4058333406
936	0.4057703049
937	0.4056705042
938	0.4055720228
939	0.4054179293
940	0.4051176954
941	0.4048830519
942	0.4046695138
943	0.4044937056
944	0.4043059076
945	0.4041624767
946	0.404041693
947	0.4038664653
948	0.403572557
949	0.4030989141
950	0.4028462088
951	0.4026590829
952	0.4026013627
953	0.4025348849
954	0.402447477
955	0.4021667499
956	0.4019410989
957	0.4015179848
958	0.4009818506
959	0.4008089215
960	0.4007213941
961	0.4005718524
962	0.4004756769
963	0.400173654
964	0.4000242887
965	0.3997735359
966	0.3996505423
967	0.3992309869
968	0.3990847751
969	0.3987243287
970	0.3985941716
971	0.3985264579
972	0.398508389
973	0.3984523094
974	0.398268764
975	0.3981839661
976	0.3980989799
977	0.3980300266
978	0.3977118784
979	0.3974398436
980	0.3970814844
981	0.3968755847
982	0.3966941621
983	0.3965822905
984	0.3964605604
985	0.3962613064
986	0.3960039872
987	0.3958448851
988	0.3957660502
989	0.3955605415
990	0.3953059257
991	0.3951585037
992	0.3948500319
993	0.3946077797
994	0.3944243194
995	0.3943138373
996	0.3941350291
997	0.3939983833
998	0.3938595034
999	0.393753506
